post_id,text,topic,sentiment
1,This is a positive opinion about ServiceY,BrandA,positive
2,This is a positive opinion about BrandA,BrandB,negative
3,This is a neutral opinion about BrandB,ProductX,negative
4,This is a negative opinion about ProductX,BrandB,negative
5,This is a negative opinion about BrandB,ServiceY,positive
6,This is a negative opinion about ServiceY,ServiceY,negative
7,This is a negative opinion about ServiceY,BrandB,negative
8,This is a negative opinion about ServiceY,BrandB,neutral
9,This is a neutral opinion about ProductX,BrandB,positive
10,This is a neutral opinion about BrandB,BrandA,neutral
11,This is a neutral opinion about BrandA,ServiceY,neutral
12,This is a positive opinion about BrandA,BrandB,positive
13,This is a positive opinion about ServiceY,BrandB,neutral
14,This is a negative opinion about BrandA,BrandB,negative
15,This is a neutral opinion about ProductX,ProductX,negative
16,This is a negative opinion about BrandB,BrandB,positive
17,This is a negative opinion about ServiceY,BrandB,neutral
18,This is a negative opinion about ProductX,ProductX,negative
19,This is a negative opinion about ServiceY,BrandB,neutral
20,This is a positive opinion about BrandB,BrandB,negative
21,This is a negative opinion about BrandA,ProductX,positive
22,This is a negative opinion about ServiceY,BrandB,positive
23,This is a positive opinion about BrandB,ProductX,neutral
24,This is a positive opinion about BrandA,BrandA,negative
25,This is a negative opinion about ServiceY,ProductX,negative
26,This is a neutral opinion about ServiceY,ServiceY,neutral
27,This is a positive opinion about BrandA,BrandA,positive
28,This is a positive opinion about BrandA,BrandA,positive
29,This is a neutral opinion about ServiceY,BrandB,positive
30,This is a negative opinion about ServiceY,BrandA,positive
31,This is a negative opinion about ServiceY,BrandA,positive
32,This is a neutral opinion about ProductX,ProductX,neutral
33,This is a neutral opinion about ProductX,BrandA,neutral
34,This is a positive opinion about BrandA,BrandA,neutral
35,This is a neutral opinion about ProductX,ProductX,positive
36,This is a neutral opinion about ServiceY,ServiceY,positive
37,This is a positive opinion about ProductX,ProductX,neutral
38,This is a positive opinion about BrandA,ServiceY,positive
39,This is a neutral opinion about BrandB,BrandA,positive
40,This is a neutral opinion about ServiceY,ServiceY,negative
41,This is a positive opinion about ProductX,ServiceY,neutral
42,This is a positive opinion about BrandB,BrandB,neutral
43,This is a positive opinion about BrandA,ProductX,neutral
44,This is a negative opinion about ServiceY,BrandB,negative
45,This is a negative opinion about ServiceY,BrandA,positive
46,This is a neutral opinion about BrandB,ServiceY,positive
47,This is a negative opinion about ProductX,ServiceY,negative
48,This is a neutral opinion about BrandA,ServiceY,positive
49,This is a positive opinion about ProductX,BrandB,positive
50,This is a positive opinion about ServiceY,ProductX,positive
51,This is a neutral opinion about BrandA,ServiceY,neutral
52,This is a negative opinion about ProductX,BrandB,positive
53,This is a positive opinion about BrandB,BrandA,neutral
54,This is a positive opinion about BrandB,ServiceY,neutral
55,This is a neutral opinion about ServiceY,ProductX,positive
56,This is a neutral opinion about ProductX,ServiceY,negative
57,This is a positive opinion about ProductX,BrandA,negative
58,This is a positive opinion about BrandB,ServiceY,negative
59,This is a positive opinion about BrandA,BrandB,positive
60,This is a neutral opinion about BrandA,ProductX,positive
61,This is a negative opinion about ProductX,BrandA,negative
62,This is a negative opinion about ProductX,BrandA,positive
63,This is a negative opinion about BrandA,BrandA,negative
64,This is a positive opinion about ServiceY,BrandB,positive
65,This is a positive opinion about ServiceY,ServiceY,negative
66,This is a positive opinion about BrandB,BrandA,negative
67,This is a negative opinion about BrandB,BrandA,negative
68,This is a positive opinion about BrandA,BrandA,neutral
69,This is a positive opinion about BrandA,BrandA,positive
70,This is a negative opinion about BrandB,ProductX,positive
71,This is a positive opinion about ServiceY,BrandA,positive
72,This is a neutral opinion about BrandB,BrandB,positive
73,This is a negative opinion about ServiceY,BrandB,neutral
74,This is a neutral opinion about BrandB,ServiceY,negative
75,This is a positive opinion about ProductX,ProductX,neutral
76,This is a negative opinion about ProductX,ProductX,neutral
77,This is a negative opinion about BrandA,BrandA,positive
78,This is a neutral opinion about ServiceY,BrandB,positive
79,This is a neutral opinion about BrandB,ServiceY,negative
80,This is a neutral opinion about ServiceY,BrandA,negative
81,This is a negative opinion about ServiceY,BrandB,positive
82,This is a negative opinion about BrandB,BrandA,negative
83,This is a negative opinion about ProductX,BrandB,positive
84,This is a negative opinion about BrandA,BrandA,neutral
85,This is a neutral opinion about BrandA,ServiceY,neutral
86,This is a negative opinion about ProductX,BrandA,neutral
87,This is a neutral opinion about BrandA,ProductX,positive
88,This is a positive opinion about BrandB,BrandB,neutral
89,This is a positive opinion about BrandB,ProductX,positive
90,This is a negative opinion about ProductX,BrandA,negative
91,This is a neutral opinion about BrandB,BrandB,negative
92,This is a neutral opinion about ProductX,ProductX,positive
93,This is a positive opinion about ProductX,BrandA,positive
94,This is a negative opinion about BrandB,BrandA,positive
95,This is a neutral opinion about BrandB,BrandB,neutral
96,This is a negative opinion about BrandA,ServiceY,positive
97,This is a negative opinion about ProductX,ServiceY,negative
98,This is a neutral opinion about ProductX,BrandB,neutral
99,This is a negative opinion about ProductX,BrandB,positive
100,This is a positive opinion about ServiceY,BrandA,positive
101,This is a negative opinion about BrandA,ServiceY,negative
102,This is a negative opinion about BrandA,BrandA,negative
103,This is a neutral opinion about ProductX,ProductX,positive
104,This is a positive opinion about BrandB,ProductX,negative
105,This is a negative opinion about BrandB,BrandB,positive
106,This is a positive opinion about ServiceY,BrandA,neutral
107,This is a negative opinion about ServiceY,ServiceY,positive
108,This is a negative opinion about BrandA,BrandA,neutral
109,This is a neutral opinion about ServiceY,ProductX,positive
110,This is a negative opinion about BrandA,ServiceY,neutral
111,This is a positive opinion about BrandB,ServiceY,negative
112,This is a neutral opinion about ProductX,BrandA,neutral
113,This is a negative opinion about BrandB,BrandA,positive
114,This is a neutral opinion about ProductX,BrandB,positive
115,This is a negative opinion about ProductX,BrandB,positive
116,This is a neutral opinion about BrandA,ProductX,neutral
117,This is a negative opinion about ServiceY,BrandB,positive
